CO	NMHC	NOx	NO2
766	515	1327	642
762	487	1364	640
736	453	1498	602
715	387	1791	559
716	390	1804	551
731	408	1727	561
735	407	1677	579
779	500	1361	652
915	774	911	839
905	818	853	840
835	688	988	720
798	609	1122	660
783	580	1181	647
807	623	1097	684
827	660	1030	709
822	632	1074	701
830	655	1045	710
833	653	1073	708
882	766	922	815
967	880	815	887
1009	958	751	935
911	777	913	796
808	613	1137	672
812	621	1143	669
790	597	1184	637
765	544	1253	601
761	525	1307	605
788	486	1294	650
790	471	1302	669
804	489	1262	698
831	537	1158	722
881	680	1023	813
1099	1013	690	1056
1100	1065	669	1072
1042	910	774	922
1026	935	747	942
905	796	900	767
891	790	927	764
968	938	790	897
909	826	898	802
938	945	804	855
971	917	802	885
1148	1226	624	1126
1299	1384	523	1325
1315	1269	551	1282
1180	1020	656	1054
1070	821	754	936
1031	763	818	905
1047	778	799	907
1030	724	832	893
986	682	875	884
992	655	876	887
1076	715	783	947
1104	713	754	1001
1160	770	702	1063
1217	846	650	1120
1457	1167	496	1422
1337	1212	529	1406
1111	931	687	1069
1165	852	692	1155
1129	783	757	1127
1092	759	773	1088
1096	777	767	1107
1108	783	758	1115
1124	787	740	1147
1216	879	670	1252
1437	1202	507	1510
1473	1245	476	1539
1396	1164	508	1488
1285	1013	568	1331
1206	928	621	1235
1179	868	664	1205
1213	877	654	1206
1142	849	680	1173
1089	750	765	1108
982	617	891	977
888	526	1134	912
979	602	925	993
1023	690	833	1049
1153	878	682	1180
1393	1204	506	1497
1567	1502	399	1848
1334	1174	524	1432
1280	1165	533	1435
1330	1145	537	1399
1349	1193	507	1493
1349	1167	515	1443
1344	1182	525	1411
1337	1198	521	1401
1316	1177	544	1392
1253	1094	575	1327
1258	1144	558	1336
1326	1253	514	1479
1109	896	710	1132
1029	762	820	1049
1112	833	759	1104
1100	810	768	1070
1136	849	715	1132
1000	712	848	989
1041	732	789	1003
1009	710	819	974
975	681	889	948
993	727	810	989
872	587	1082	866
1017	818	842	1034
1070	928	701	1112
915	658	957	866
978	772	870	955
968	777	830	929
1008	843	787	998
1025	913	724	1035
983	806	820	966
1018	868	751	1015
1101	916	721	1125
1116	888	695	1176
1161	945	654	1205
1212	1010	622	1284
1225	985	635	1255
1154	891	697	1197
1140	856	707	1171
1201	949	665	1220
1011	742	842	998
867	590	1088	826
856	545	1166	803
859	527	1203	810
859	479	1285	822
842	454	1433	788
856	505	1246	833
867	500	1219	818
877	541	1148	829
869	535	1162	783
900	582	1081	792
899	603	1055	782
895	624	1002	787
992	844	830	990
1104	1095	609	1210
933	711	912	850
973	778	839	916
1069	923	735	1036
1055	821	797	942
1032	778	834	926
982	714	879	905
968	680	918	891
979	718	883	903
935	666	939	836
942	666	960	848
883	561	1080	785
841	470	1311	708
843	443	1490	730
872	460	1359	755
862	474	1312	753
917	562	1099	827
1022	771	812	941
1022	837	755	978
961	789	839	910
912	731	912	811
896	731	911	799
890	726	921	779
