CO	C6H6	NOx	NO2
0.6	1.2	86	69
0.6	0.9	71	60
0.4	0.6	39	37
0.2	0.2	367.01	136.86
0.2	0.2	29	27
0.2	0.3	32	30
0.2	0.3	37	33
0.5	1	134	84
1.5	5.2	358	147
1.9	6.1	354	143
1.4	3.6	284	122
0.9	2.3	213	109
0.7	1.9	174	95
0.8	2.6	157	94
1	3.1	178	102
0.9	2.7	187	107
1	3	198	113
0.9	3	186	110
1.4	5	203	116
2.1	7.5	313	148
2.8	9.5	342	156
2.2	5.3	310	159
1	2.4	165	116
1.1	2.5	152	110
0.9	2.2	141	102
0.8	1.5	122	93
0.6	1.3	79	67
0.5	0.9	367.79	137.01
2.24	0.7	81	75
0.4	0.9	77	73
0.5	1.4	124	96
0.7	3.5	159	110
2.4	11	396	150
2.8	12.4	479	169
2	8.3	438	181
2.2	8.9	466	187
1.4	5.7	288	146
1.2	5.5	205	131
1.9	9	311	161
1.3	6.3	246	143
2	9.1	356	176
2	8.4	397	178
3.4	17.5	579	207
5.1	23.3	819	240
5.3	19	754	236
2.8	11.1	473	199
1.6	6.2	300	170
1.4	5	235	153
1.4	5.3	207	140
1.4	4.2	204	138
1.1	3.5	155	117
0.9	3	368.56	137.17
1	4.1	179	119
1	4	143	108
1.2	5.1	212	121
1.4	6.7	263	136
3	15.6	648	175
4.2	17.1	717	211
2.1	8.8	389	186
2	6.9	438	177
1.6	5.4	282	147
1.4	4.9	268	150
1.6	5.3	248	148
1.5	5.4	272	151
1.7	5.5	291	151
1.9	7.5	363	165
3.8	16.7	660	197
5.4	18.2	907	228
4.2	15.5	639	196
3.8	10.9	574	192
2.3	8.7	373	161
2.1	7.3	330	156
2.3	7.5	336	158
2.3	6.8	347	154
1.7	4.7	241	138
1.2	2.5	369.34	137.32
0.6	1.3	96	92
0.9	2.2	147	103
1.1	3.6	210	117
1.9	7.5	409	139
3.7	16.8	719	167
6.1	28	959	205
4.6	15.8	744	216
3.3	15.5	583	192
3.3	14.9	597	188
3.4	16.4	550	189
3.6	15.6	499	192
3.9	16.1	470	194
4.8	16.6	568	217
3.9	15.9	525	178
3.6	13.3	481	183
3.6	14.9	414	189
4.6	18.5	565	225
2.3	7.9	303	175
1.6	5	221	153
1.8	6.5	260	156
2.2	6	327	172
2.1	6.8	344	164
1.7	4	270	157
1.5	4.4	370.12	137.48
2.24	4	191	136
1.1	3.5	136	110
1.1	4.3	194	128
0.8	2	168	132
1.3	6.1	254	156
2.3	8.7	410	185
1.1	3.1	166	121
1.1	5.2	162	117
1.5	5.3	188	133
1.6	6.7	199	136
2.2	8.3	272	162
1.5	5.9	180	132
1.8	7.3	255	162
2	8.4	251	159
1.9	7.7	258	156
2.5	9.1	344	177
2.6	10.9	380	185
3.2	10.2	464	199
2.2	7.8	304	166
1.9	7	258	152
2.4	9.2	358	170
1.8	4.6	278	160
0.9	2.1	116	100
0.8	1.5	370.9	137.63
0.7	1.3	60	57
0.6	0.8	51	48
0.5	0.6	33	32
0.6	1.1	80	72
0.6	1	103	86
0.7	1.5	93	79
0.7	1.4	108	87
0.9	2	107	85
1	2.3	122	97
1	2.6	122	96
1.4	6.7	156	113
3	13.3	246	163
1.5	4	205	146
1.7	5.3	257	167
2.3	8.6	228	162
2.5	6.2	321	194
2.1	5.3	270	185
1.5	4.1	203	158
1.4	3.5	201	156
1.4	4.1	207	157
1.4	3.2	180	141
1.2	3.2	140	116
0.9	1.7	93	84
0.6	0.7	371.68	137.78
0.4	0.5	35	34
0.4	0.6	47	45
0.5	0.8	68	59
0.7	1.7	131	99
1.5	5.2	289	165
1.9	6.6	322	168
1.6	5.5	330	169
1.4	4.4	339	162
1.3	4.4	316	155
1.3	4.3	218	136
1.2	4.5	177	124
1.3	4.5	278	158
1.4	4.8	313	167
1.7	6.3	351	176
2.5	9.6	374	204
3.8	15	431	209
4.2	15.4	468	224
2.8	8.9	368	211
1.5	5	239	174
1.8	6.5	292	181
1.5	4.4	205	157
1.5	5.3	255	154
1.2	3.1	220	147
0.8	1.9	372.46	137.94
2.24	1.7	114	101
0.7	1.9	153	114
0.7	2.8	224	134
1.3	5.5	295	144
3.4	18.3	667	182
5.5	26.3	867	223
4.1	16.3	666	219
3	12.3	595	215
1.9	7.4	421	191
1.8	8.1	292	162
2.1	10.8	308	165
2.3	9.7	347	171
2.3	9.9	377	164
2	9.6	325	168
3.1	16.5	508	204
5.1	23.4	768	242
5.9	24.2	764	246
3.2	13.3	500	215
2.4	8.4	463	206
1.4	5.4	258	167
1.4	5.2	214	145
1.3	4.6	191	133
1	3.2	154	117
0.8	2.2	373.24	138.09
0.8	2.5	113	90
0.9	2.8	167	112
0.9	3.9	235	120
1.7	7.2	372	141
4.3	20.9	877	190
6	27	900	215
3.8	18.5	733	215
3.3	14	691	235
2.3	10.5	457	194
2.4	11.2	369	159
2.2	10.3	285	123
1.9	8.6	279	121
1.7	7.6	198	102
1.9	10.2	229	114
3.8	17.8	477	168
5.3	25.3	679	207
5.9	24.4	682	199
5.5	20	679	192
2	7.3	298	148
1.8	6.6	265	137
1.6	5.7	196	123
1.3	4.5	155	109
1.1	4.1	131	98
1.1	4.4	374.01	138.25
1	3.3	165	94
0.8	3.3	169	95
0.9	3.5	224	101
1.3	6.4	249	100
4.1	20.1	863	150
3.9	21.2	665	168
3.5	13.7	670	199
2.7	11.7	500	168
2.3	10.6	428	161
2.3	9.8	374.34	138.31
2.1	9.1	306	145
2.2	9.2	334	148
1.8	5.9	268	131
1.9	8.6	284	137
2.7	12.7	393	163
4.7	19.8	603	219
5.4	23.8	757	245
4.2	14.6	684	229
2.1	7.6	426	184
1.4	4.9	254	151
1.4	5.2	227	133
1.4	4.8	221	135
1	3.2	155	111
0.8	2.4	120	90
2.24	3.2	134	91
0.7	2.1	128	89
0.6	2.7	148	89
0.2	4.5	233	117
1.5	13.8	470	141
3.5	22.7	679	189
3	19.3	796	211
