SEUA	SGYA	LKVN
85.3	44.4	84.2
86.6	52.2	84.2
80.7	54.6	82
85	40.9	85.1
84.4	46.7	84.9
83.3	45.4	83.8
79.7	45.4	85.9
82.9	40	83.4
81.7	47.1	83.7
86.1	54.2	86.4
80.9	40	80
84.8	33.3	83.3
83.2	44.4	83.1
83.9	42.1	82.2
85.3	42.9	84.1
83.8	45.4	80.7
83.4	43.7	81.8
83.1	26.7	83.5
81.8	36.6	83.5
83.1	26.7	81.2
80.1	33.3	81.2
83.1	36	80.8
82.2	28.6	79.5
83.9	50	81.5
81.1	28	79.5
82.7	29	80.3
85.4	35.7	83.4
83.3	46.1	80.1
82	27.3	79.8
82.5	42.1	81.4
78.7	44.4	79.9
85.1	51.8	81.5
79.3	52.5	79.8
81.4	50	79.9
82	54.3	80.9
84.7	50	80.5
79.9	53.8	78.1
83.6	50	80.8
83.3	63.9	81.9
77.9	55.6	75.4
85.1	61.1	82.1
81.3	71.4	80.6
77.9	63	79.5
87.2	58.8	83.3
78.5	70.4	79.3
85.5	65.5	83.4
85.7	66.7	83.1
85.4	55.2	81.4
84.9	54.7	82.8
85.3	61.1	81.4
83.5	56.1	81.7
81.9	66.7	79.6
86.7	66.7	84.3
81.5	59.1	81.4
82.6	62.5	82.4
87.6	56.5	83.4
78.2	46.7	78.2
87.2	50	84.2
85.1	46.1	81.9
83.9	28.6	80.8
84	40	81.7
83	44.4	80.4
80.4	60	78.4
83.5	71.4	82.2
85.7	62.5	82.3
79.2	36.4	78.7
81.4	55.6	81.3
80.5	46.1	78.8
80	55.6	78.4
85.6	50	81.6
80.5	50	78.5
83.3	50	80.4
81.7	54.2	78.6
82.2	62.2	78.8
81.2	65	78.8
85.3	50	80.8
84	41.7	80.2
81.2	46.6	79.3
83.5	46.4	81.4
83.8	60	78.7
83.6	44.5	80.7
86.7	48.3	81.4
82	46.2	77.8
85.1	51.3	80.7
78.6	52.4	74.8
81.7	52.6	76.9
83.9	53.7	79.4
83.7	58.3	78
83.3	69.3	78
83.3	58.3	79.8
80.8	60.9	78.1
84.8	61.5	78.4
85.3	60	80.4
85.6	90	79.7
85.1	61.9	80.4
84.7	52.9	80.2
79.5	56.2	75.2
84	59.1	77.9
85.3	73.1	78.7
85.8	63.2	79
87.1	67.6	79.7
85	77.3	79.9
83	83.3	78.7
86.4	86.7	80.3
85.7	111.1	79.7
85.2	82.6	79.2
86.7	73.7	81.8
84	76.9	79.9
82.5	80	77
84.9	75	78.7
87.7	90.9	82
84.3	85.7	78.1
88.1	75	81.1
85	100	80.7
83.1	108.4	79.2
86.5	92.3	79.7
84.8	72.7	78.7
87.7	77	80.9
85.8	85.7	80.5
83.4	72.2	77.9
84.3	66.7	77.6
84.9	75	77.8
85.9	100	79.2
87.2	80	78.4
91.1	150	80.7
86.1	83.3	78.9
87.6	100	79.6
89.6	100	79.6
89.1	81.8	79.2
93.7	87.5	82.6
89.2	100	80.6
89.7	100	80.4
89.3	95.9	80.2
92.1	110.5	82.3
88	126.3	80
97.8	118.2	87.7
95.5	150	84.7
95.3	160	85.8
98	160	88.3
97.1	116.7	84.6
102.8	144	88.3
105.8	106.6	90.6
94.9	118.2	87.9
109.7	70	96.1
102.9	71.4	89.1
105.4	80	91.1
107.6	100	94.8
104.5	91.7	92.2
102.2	100	88.9
98.4	110	90
99.2	108.3	90.3
94.8	137.5	85.4
102.3	100	91.5
98.8	100	90.3
96.2	123.1	88.7
102.5	120	93.4
95.6	140	86.3
98.4	110	89.6
104.8	100	96.4
102.9	140.5	93.8
104.9	114.3	93
107.9	150	96.6
101.3	129.1	92.5
105.7	116.7	92.1
108.4	125.5	94.3
103	147.7	92
102.2	126.9	93.4
106.9	138.9	96.5
100.1	145.5	90.3
101.2	152.6	92.1
109.7	169.2	98.2
103.1	177.8	93.2
113	164.3	97.5
107.9	144.4	97.9
103.9	155.6	94.9
113	161.5	98.1
111.1	150	98.5
108.3	133.3	96.7
107.4	157.1	98.5
103.3	146.2	96.9
100.7	160	94.3
100.5	164.7	94.7
101.2	168.8	95.7
101.8	162.5	94.6
106	158.2	98.1
100.6	233.3	96.6
99.4	157.1	95.1
105.5	158.8	96.9
100	157.2	93.6
106.7	154.5	98.9
102	135.7	97.1
102.7	154.2	96.8
104.3	158.3	95.9
99.7	200	95
100.6	150	96.4
105.1	150	100.7
107.9	155.6	100.5
97.1	160	96.9
102.2	163.7	99.9
102.1	153.3	96.3
100.7	175	95.9
104.5	153.3	99
97.6	150	95.3
103.3	140	98.3
102.2	150	94.4
95.7	142.9	92.2
98.9	153.3	95.4
101.2	144.5	94.5
98.1	125	94.3
96.9	164	94.4
99.1	156	94.9
97.4	125	92
98.8	157.9	93.7
104.1	128.5	97
93.2	118.2	93.1
102.9	103.6	99.5
99.6	90.9	93.3
95.3	100	92.5
95.8	88.9	96.3
99.8	94.1	95.8
96.1	106.9	93.6
96.4	120	95.8
95.9	93.1	93.7
92.8	100	90.8
94.6	90	93.1
96.4	87.5	93.7
92.4	94.8	92.2
98.7	69.2	97
97.3	62.5	92.4
94.5	75	94
101.3	72.2	97.9
98.6	80	97.1
99.3	92	98.3
99.9	106.7	101.4
97.6	97.3	100.2
104.1	98.2	102.7
99.4	100	100.4
104.3	113.6	104.5
102.7	106.4	105.7
101.6	116.7	105.3
104.1	125.9	102.7
103	126.1	102.2
107.5	117.2	109.7
104	122.1	101.1
106.2	112.8	105.9
101.8	107.5	106.3
98.5	115.3	100.9
102.4	114.3	102.7
98.6	117.4	100.7
104.3	119.5	104.4
104.2	130.3	104.6
103.9	136.4	103
105.5	142.9	103.2
102.6	130.8	100.6
99.7	122.2	102.1
106.2	136.9	102.7
104.9	153.1	104.8
100.6	151.6	104.9
100.6	170	103.6
101.6	163.6	104.5
98	161.9	103.2
104.4	155.2	107.8
101.2	160	106.9
106.4	155.5	109.1
106.1	156.5	108.9
104.7	146.2	105.9
103.3	158.3	107.7
108.7	171	106.7
108.7	164.7	109.6
97.6	152.2	106.6
106.1	160	111.3
103.5	154.6	107.9
104.2	153.3	110
106.3	150	112.3
101.4	150	108.9
108	158.3	108.9
106.1	150	109
103.6	137.5	107.1
106.8	133.3	113.1
100.3	114.3	108.1
92	90.5	106.3
