CO2	CH4	N2O
209.944	62.24	17.72
226.011	63.3	18.43
226.935	66.47	20.35
235.607	68.22	18.88
263.82	70.08	19.51
271.582	73.81	21.63
273.769	77.85	23.9
267.046	81.23	26.68
305.503	85.24	29.22
379.501	88.15	30.47
369.15	90.72	32.27
394.759	96.6	32.79
397.625	102.3	33.97
413.665	108.58	34.92
441.947	114.99	36.33
463.499	121.47	37.1
503.636	127.54	39.28
512.66	133.54	38.4
534.644	136.92	37.91
559.025	143.21	38.22
569.772	149.45	38.24
577.336	147.49	35.72
602.738	146.59	36.85
610.21	145.34	36.91
641.842	139.34	36.22
628.626	139.18	36.38
637.362	143.25	37.26
712.256	146.03	37.22
707.157	149.69	37.58
