SEST	SIZJ	JZVR	SJCI
2682	496	38	25
2688	507	41	28
2642	516	44	23
2791	499	41	23
2670	403	36	22
2663	452	38	24
2654	422	41	23
2606	489	36	22
2585	383	31	25
2803	554	40	29
2678	478	40	24
2677	570	45	25
2706	410	40	22
2783	479	38	22
2686	463	41	20
2751	515	40	21
2617	368	40	19
2720	457	35	21
2736	568	33	21
2727	460	37	20
2701	526	37	17
2705	479	32	17
2661	463	33	17
2635	536	34	17
2634	463	41	17
2606	509	32	17
2750	521	30	18
2589	421	33	17
2687	659	32	19
2724	554	32	17
2815	649	29	19
2863	601	27	19
2899	593	30	17
2778	695	31	19
2849	622	33	20
2951	574	36	20
2923	663	31	22
2844	656	31	17
2950	776	28	21
2837	705	28	20
2951	717	31	19
2938	707	40	19
2947	646	33	22
3028	663	35	17
3015	622	33	20
3089	591	31	19
2988	713	35	20
3131	681	22	20
3292	712	30	17
3286	651	28	20
3269	657	28	21
3213	557	30	20
3210	606	26	18
3255	680	28	23
3142	604	31	18
3128	625	27	23
3148	709	34	22
3006	685	28	22
3192	673	27	20
3136	671	24	19
3149	547	26	25
3375	647	29	28
3300	580	30	28
3190	741	29	25
3399	709	32	25
3164	695	30	25
3305	772	32	24
3270	630	31	25
3419	638	33	26
3284	589	28	24
3337	583	35	21
3323	609	27	25
3286	731	40	19
3372	670	36	17
3291	679	31	17
3354	673	30	19
3315	633	30	17
3358	586	32	19
3316	794	30	20
3336	708	32	16
3310	675	31	17
3443	745	31	19
3432	835	29	18
3399	809	31	16
3434	641	31	16
3474	703	31	17
3514	715	32	17
3527	817	34	16
3366	678	32	19
3613	746	36	18
3536	723	26	15
3483	727	28	17
3522	858	26	17
3559	759	28	15
3577	632	25	17
3580	688	30	17
3501	755	29	15
3558	697	32	16
3489	781	26	14
3498	570	28	14
3403	663	31	15
3613	654	26	12
3538	716	29	13
3783	769	28	13
3668	718	31	11
3553	736	32	12
3697	705	30	13
3727	686	31	16
3810	728	31	17
3697	818	30	13
3767	622	32	12
3964	821	32	13
3950	702	37	12
3735	765	32	11
3818	740	37	12
4076	635	34	10
3839	585	36	12
3958	678	32	9
3927	709	29	10
4185	723	40	11
3901	767	35	14
3917	625	34	11
4035	664	36	11
3851	538	37	11
4072	535	35	13
3867	517	39	14
3952	574	37	12
4065	601	38	13
3839	598	42	14
3869	625	40	13
3871	645	38	14
3978	606	40	12
3865	556	43	15
3775	528	44	12
3876	551	41	14
3828	570	42	14
3613	581	45	13
4046	594	47	12
3969	544	47	13
3895	619	45	11
3718	594	45	10
3635	491	51	9
3525	552	47	7
3103	484	46	9
3413	518	40	7
3306	429	51	9
3028	535	49	9
3287	557	49	8
3174	573	44	7
3447	628	42	7
3281	491	45	8
3280	473	46	7
3509	532	47	9
3437	507	49	11
3381	543	47	9
3345	484	46	9
3431	604	46	9
3607	641	45	9
3542	608	44	11
3589	660	47	12
3531	518	55	10
3574	700	53	10
3418	624	50	10
3537	547	58	10
3495	506	55	11
3480	1073	54	11
3714	604	55	12
3636	851	57	10
3895	712	55	8
3711	699	56	12
3693	633	56	9
3661	556	52	9
3803	703	47	9
3525	581	51	10
3907	751	51	11
3750	702	45	9
3593	680	49	9
3675	529	41	10
3647	620	50	10
3739	731	51	12
3578	631	47	9
3598	594	50	8
3958	711	60	9
3386	448	51	8
3643	701	56	8
3340	645	57	7
3609	635	63	9
3394	538	59	9
3597	689	59	7
3740	760	58	7
3952	713	57	8
3464	707	57	9
3366	673	63	9
3402	781	58	10
3509	563	61	7
3343	650	62	9
3592	698	64	9
3699	725	77	9
3462	662	55	9
3562	667	57	10
3561	618	57	10
3494	607	56	9
3557	609	58	9
3542	591	59	8
3497	571	60	10
3531	548	57	10
3582	579	57	10
3465	559	53	9
3463	622	55	9
3452	538	53	10
3527	548	61	10
3579	539	59	7
3447	546	54	10
3428	519	57	9
3441	539	56	8
3534	479	55	9
3422	539	51	9
3466	514	54	8
3394	697	53	9
3400	703	60	10
3328	629	55	11
3423	820	54	7
3431	705	52	9
3522	675	51	10
3458	689	59	9
3461	780	53	8
3447	774	50	10
3280	702	53	9
3369	692	50	9
3592	630	53	9
3321	725	50	9
3495	865	55	9
3353	716	53	10
3472	676	55	8
3371	712	53	9
3431	699	55	11
3507	767	56	9
3446	713	57	11
3522	641	60	10
3785	782	58	10
3676	790	57	10
3648	914	54	11
3807	850	57	11
3866	836	57	12
3782	823	55	11
3809	753	57	12
3695	822	56	12
3624	788	59	12
3824	1112	60	12
3760	774	61	12
3814	847	58	12
3916	844	55	11
3878	861	58	12
3737	782	68	11
3691	844	67	12
3737	797	64	13
3711	815	70	11
3735	875	66	10
3724	995	69	11
3721	755	61	11
3628	780	59	12
3615	761	60	11
3443	841	60	11
3527	845	62	13
3547	762	67	11
3612	1040	66	12
4250	980	68	11
2949	805	47	10
3089	855	49	11
3124	818	50	11
3425	850	50	11
3375	803	46	9
3356	791	56	11
3743	828	66	11
3022	895	49	11
3507	1039	46	11
3292	1119	49	11
3321	806	48	9
3271	438	55	9
3270	886	59	6
3442	1304	45	8
