BQAY	BQAT	BQAU
181	639	3907
200	631	3796
197	565	3857
186	693	3885
170	579	3877
199	606	3732
165	592	3865
187	563	3655
171	564	3825
196	609	3862
186	556	3720
222	594	4026
177	503	3800
192	533	4074
210	542	3941
166	502	3967
175	448	3977
161	554	3876
155	432	3994
170	370	3779
172	346	3857
152	358	3721
148	397	3663
153	400	3627
184	402	3650
164	379	3576
217	440	3937
191	423	3804
193	463	3638
194	525	3963
213	453	4042
265	580	4132
244	515	4054
227	520	3861
224	599	4169
281	638	3978
297	825	4091
309	758	4080
333	800	4467
299	864	4134
265	734	4206
383	923	4262
437	994	4213
358	994	4337
265	735	4300
410	1054	4275
423	946	4706
475	1074	4436
322	1039	4588
390	937	4529
452	905	4565
437	1013	4497
518	1118	4616
479	1125	4578
385	823	4613
360	840	4670
309	781	4194
391	1130	4545
324	865	4438
307	728	4482
319	818	4436
325	881	4423
360	830	4330
346	1036	4531
440	933	4688
383	859	4395
347	980	4687
339	797	4492
400	974	4311
432	894	4744
397	977	4547
385	847	4533
442	1120	4658
438	985	4680
509	1153	4602
484	1009	4737
420	1082	4879
384	883	5007
490	1104	4947
456	968	4701
491	1217	4896
527	1210	4924
422	975	4821
489	1170	4884
606	1368	4989
512	1101	4775
464	1181	5189
569	1464	4961
587	1458	4878
608	1518	5114
638	1597	5177
632	1447	5377
671	1696	5324
587	1696	5483
624	1942	5267
643	1670	5478
663	1727	5207
731	1792	5434
726	1663	5507
830	1922	5394
638	1911	5225
860	2001	5438
795	2074	5357
908	2400	5511
954	2655	5164
965	2519	5220
969	2537	5383
933	2424	5842
973	2826	5753
968	2590	5836
1049	2808	5814
884	2306	5757
922	2725	5907
899	2742	5867
864	2643	5871
842	2755	6007
910	2517	5897
909	2173	6039
841	2491	6429
924	2114	6096
950	2327	6124
945	2259	6106
988	2433	6502
1114	2492	6001
975	2216	6406
1028	2359	6382
1019	2532	6724
997	2587	6483
1019	2928	6334
1077	3024	6381
1297	3441	6389
1244	3270	6288
1267	3487	6400
1257	3478	6624
1372	3521	6621
1400	4198	6809
1641	4250	6697
1583	5056	6997
1841	5142	7077
1473	4251	6862
1251	3852	7161
1322	3774	6854
1220	3611	6375
1093	3319	6335
955	3223	6473
967	2838	6353
1271	3226	6243
983	2755	6708
1005	2470	6126
1091	2782	6093
1045	2915	6282
1087	2775	5884
993	2877	6614
1299	2769	6987
1170	3039	6741
1181	3524	6635
1134	3113	6870
1256	3377	6710
1304	3508	7601
1288	3631	7321
1219	3230	7457
1360	3775	7633
1473	3743	7540
1270	3710	7504
1315	3866	7406
1190	3264	7711
1508	4361	7749
1620	4912	7915
1525	4719	8478
1751	4703	7642
1743	5130	8531
1864	5426	7501
1906	5154	8757
1664	5218	8453
1767	5353	8663
1619	5215	8025
1618	5233	9018
1844	5776	8256
1920	5843	8477
1661	5271	7848
1922	6025	8260
1693	5324	8147
1801	6059	8455
1647	5692	8324
1914	5650	8147
1885	5178	8628
1838	5099	7807
1956	5958	8515
1964	5072	8484
2201	5495	8397
2094	5652	7663
2248	6471	7411
1815	5230	8057
1941	5092	8006
2028	5820	8490
1635	5863	7727
2044	5837	7502
1832	5049	8014
1507	5175	8142
2050	5347	7935
1934	4824	8457
2280	5132	8325
2210	5009	8069
1945	4726	7490
2071	5165	7630
1862	4632	7684
1677	4355	7877
1667	4415	8051
1738	4604	8000
1809	4188	7882
1878	4524	8258
1721	3898	7953
1764	4862	7732
1615	4356	7984
1467	3787	7997
1643	4580	7989
1265	3165	7997
1545	3351	7934
1536	3753	7881
1564	3364	7869
1664	3224	7712
1585	3438	7861
1342	2922	7623
1335	2933	7540
1357	2821	7510
1264	3348	7880
1262	2805	7694
1028	2481	7666
1006	2385	7722
1130	2170	7914
1216	2572	7572
1222	2479	8155
1142	2172	7690
1209	2808	8406
1331	2692	8163
1327	2666	8642
1303	2992	9056
1326	3293	8384
1429	3689	9084
1526	3600	9073
1508	4254	8820
1666	3811	8664
1458	3998	9400
1441	3311	9127
1384	3330	9698
1348	3154	9681
1360	3381	9055
1460	3389	9714
1482	3703	9844
1655	3759	9326
1643	4281	9204
1687	4543	9317
1773	4520	9420
1685	4000	8870
1785	4952	9186
1830	4350	9011
2164	4851	9508
1884	4256	9575
2163	4739	9388
2000	5128	9937
2103	4658	9316
1646	4829	9901
2017	5181	9911
1931	4769	9847
1759	4701	10244
1723	4211	10332
1836	4168	11174
1724	3864	8998
1895	4581	8993
1997	3935	9124
1909	4126	9232
1795	3703	8980
1723	3785	9556
1823	4346	10111
1678	4022	8336
1726	4100	8567
1548	3986	8627
1330	3615	8118
1362	3332	8476
741	1861	7936
659	1541	7830
