SESM	LKTY	SETY	IKBM
-368	-711	295	3796
-329	-603	314	3232
-399	-793	93	2518
-309	-847	251	3513
-365	-923	217	3002
-318	-1195	148	2328
-400	-1212	203	2619
-313	-1004	87	2399
-442	-616	165	2859
-345	-964	152	2819
-481	-1361	141	2845
-437	-785	-5	3264
-298	-609	139	3269
-382	-629	-2	2169
-385	-719	-36	2160
-442	-932	20	2558
-435	-1025	-102	1683
-347	-1308	125	1595
-331	-1121	-100	1907
-316	-894	164	1678
-296	-913	-31	1231
-329	-1068	108	1676
-374	-998	87	1446
-317	-1109	102	1384
-343	-1159	94	738
-341	-1258	139	475
-313	-1481	-36	840
-426	-1187	11	832
-408	-892	283	1459
-387	-1313	-225	312
-331	-1067	-167	953
-323	-1364	-60	576
-391	-1290	87	1070
-308	-1052	7	797
-374	-1201	-84	655
-399	-1239	52	799
-403	-1148	-169	509
-394	-1276	-23	535
-382	-1169	-112	1410
-375	-1331	-68	777
-330	-1414	-93	867
-287	-1130	-25	1283
-343	-1331	-199	-210
-350	-1263	-61	1149
-307	-1323	-102	1093
-309	-1111	56	778
-500	-1389	-144	300
-334	-1525	81	172
-130	-1142	-115	619
-169	-1752	74	286
-234	-1686	-76	333
-313	-1796	191	-170
-423	-2022	3	-385
-317	-1692	-61	-665
-374	-1950	-214	-619
-410	-2108	-142	-1894
-400	-2406	218	-608
-508	-2223	131	-489
-356	-2165	144	-200
-382	-2242	-222	-974
-517	-2464	265	-491
-328	-2304	32	-1427
-495	-2581	297	-1418
-445	-2568	93	-2021
-378	-2419	363	-1261
-429	-2593	139	-1887
-468	-2606	75	-1654
-477	-2995	23	-1241
-399	-2874	317	-1179
-553	-2934	41	-2418
-453	-2975	-180	-3396
-438	-2940	147	-1836
-537	-2941	168	-1009
-500	-3015	211	-948
-529	-2960	333	-1506
-503	-2927	681	49
-422	-2709	108	-2087
-445	-3029	-289	-3032
-574	-2922	272	-1212
-465	-2941	359	-1097
-499	-3172	-42	-3198
-377	-3134	274	-2120
-515	-3408	260	-2286
-534	-3529	311	-1847
-463	-3369	-112	-3311
-377	-3233	333	-1986
-518	-3296	-80	-1907
-413	-3448	112	-2301
-616	-3502	109	-2686
-383	-3355	-45	-3214
-423	-3268	6	-2899
-490	-3460	-257	-3325
-435	-3225	29	-2265
-485	-3829	-172	-2820
-296	-3525	-19	-1744
-372	-3600	-82	-1152
-284	-3612	-143	-2608
-521	-3575	-57	-2224
-472	-3702	-236	-2495
-499	-4025	20	-2929
-426	-3769	88	-2543
-360	-3821	-50	-1622
-330	-4057	-90	-1802
-143	-4123	-214	-2718
-260	-4103	234	-2085
-337	-4171	159	-1557
-284	-4173	54	-2571
-333	-4496	-249	-2161
-453	-4206	-160	-2788
-380	-4071	-207	-1765
-360	-3334	-63	-911
-155	-3395	-119	-1271
-294	-3526	-111	-2535
-364	-3349	-100	-1146
-382	-3849	-378	-1455
-237	-3804	-231	-1519
-405	-3695	59	-1048
-326	-3809	-202	-1381
-457	-3858	-287	-2069
-209	-3811	-245	-1650
-495	-3884	-69	-1799
-463	-4182	-224	-1693
-537	-4601	-216	-1848
-562	-4377	60	-279
-385	-4501	-199	-1067
-488	-4596	-165	-1692
-620	-4584	-408	-2140
-422	-4432	-170	-1640
-616	-4692	70	-1739
-574	-4480	-132	-646
-494	-4536	-18	202
-442	-4514	-219	-97
-493	-4930	75	-1060
-631	-4977	210	-1223
-529	-4669	-236	-376
-614	-4913	92	-315
-731	-4877	503	271
-364	-4712	142	-503
-223	-4428	-7	450
-198	-4242	-90	831
-711	-4592	95	1095
-602	-4292	277	901
-362	-3961	-2	182
-898	-4089	504	1291
-427	-3089	-215	1079
-698	-3907	479	1237
-804	-4151	213	397
-858	-4127	30	-229
-759	-4041	142	786
-619	-4163	238	-204
-670	-3864	393	-242
-684	-4375	809	49
-814	-4585	538	-599
-911	-4735	237	-240
-844	-4908	426	-100
-829	-5142	442	-670
-796	-4849	-95	-1183
